trip_id,stop_id,delay_sec
6419989-35_A_50_3503_11:59-SETP2025-35-Semaine-35,6047,
6419989-35_A_50_3503_11:59-SETP2025-35-Semaine-35,6154,
6419989-35_A_50_3503_11:59-SETP2025-35-Semaine-35,6094,
6419989-35_A_50_3503_11:59-SETP2025-35-Semaine-35,6037,
6419989-35_A_50_3503_11:59-SETP2025-35-Semaine-35,6041,
6419989-35_A_50_3503_11:59-SETP2025-35-Semaine-35,6157,
6419989-35_A_50_3503_11:59-SETP2025-35-Semaine-35,6042,
6419989-35_A_50_3503_11:59-SETP2025-35-Semaine-35,6038,
6419989-35_A_50_3503_11:59-SETP2025-35-Semaine-35,6095,
6419989-35_A_50_3503_11:59-SETP2025-35-Semaine-35,6155,
6419989-35_A_50_3503_11:59-SETP2025-35-Semaine-35,6048,
6419989-35_A_50_3503_11:59-SETP2025-35-Semaine-35,32208,
6419989-35_A_50_3503_11:59-SETP2025-35-Semaine-35,614,
6419989-35_A_50_3503_11:59-SETP2025-35-Semaine-35,712,
6428316-60_A_50_6001_12:10-PROJET2025-60-Semaine-08,2997,
6428316-60_A_50_6001_12:10-PROJET2025-60-Semaine-08,177,
6428316-60_A_50_6001_12:10-PROJET2025-60-Semaine-08,1118,
6428316-60_A_50_6001_12:10-PROJET2025-60-Semaine-08,154,
6428316-60_A_50_6001_12:10-PROJET2025-60-Semaine-08,172,
6428316-60_A_50_6001_12:10-PROJET2025-60-Semaine-08,1134,
6428316-60_A_50_6001_12:10-PROJET2025-60-Semaine-08,621,
6428316-60_A_50_6001_12:10-PROJET2025-60-Semaine-08,913,
6428316-60_A_50_6001_12:10-PROJET2025-60-Semaine-08,791,
6428316-60_A_50_6001_12:10-PROJET2025-60-Semaine-08,1122,
6428316-60_A_50_6001_12:10-PROJET2025-60-Semaine-08,980,
6428316-60_A_50_6001_12:10-PROJET2025-60-Semaine-08,600,
6428316-60_A_50_6001_12:10-PROJET2025-60-Semaine-08,565,
6428316-60_A_50_6001_12:10-PROJET2025-60-Semaine-08,814,
